DE 16 a 27,SRP
AT1G01060,AT2G32690
AT1G01070,AT4G25500
AT1G01120,AT1G04800
AT1G01170,AT1G17130
AT1G01190,AT2G16600
AT1G01240,AT4G08350
AT1G01430,AT1G60170
AT1G01790,AT3G57290
AT1G01900,AT2G18740
AT1G01970,AT2G24590
AT1G02205,AT3G12580
AT1G02460,AT2G37340
AT1G02610,AT1G07350
AT1G02800,AT1G07350
AT1G02930,AT1G55310
AT1G03310,AT1G51380
AT1G03420,AT1G21190
AT1G03475,AT1G76300
AT1G03650,AT1G09660
AT1G03860,AT1G23860
AT1G03870,AT1G45332
AT1G04040,AT5G42020
AT1G04110,AT3G49430
AT1G04270,AT4G12600
AT1G04280,AT3G52380
AT1G04350,AT5G02500
AT1G04430,AT5G52040
AT1G04620,AT2G23350
AT1G04680,AT5G14610
AT1G04710,AT2G45030
AT1G04800,AT3G01540
AT1G04820,AT4G38740
AT1G04900,AT3G56070
AT1G04980,AT5G54900
AT1G05560,AT2G46610
AT1G05570,AT3G07860
AT1G06360,AT1G09140
AT1G06560,AT2G30000
AT1G06620,
AT1G06640,
AT1G06690,
AT1G06820,
AT1G06950,
AT1G07110,
AT1G07140,
AT1G07180,
AT1G07210,
AT1G07350,
AT1G07420,
AT1G07440,
AT1G07610,
AT1G07700,
AT1G07780,
AT1G07930,
AT1G08110,
AT1G08200,
AT1G08550,
AT1G08640,
AT1G08830,
AT1G08840,
AT1G08890,
AT1G08920,
AT1G09140,
AT1G09190,
AT1G09210,
AT1G09240,
AT1G09300,
AT1G09350,
AT1G09600,
AT1G09660,
AT1G09780,
AT1G09932,
AT1G10030,
AT1G10060,
AT1G10170,
AT1G10230,
AT1G10270,
AT1G10370,
AT1G10510,
AT1G10522,
AT1G10640,
AT1G10657,
AT1G10682,
AT1G10760,
AT1G10920,
AT1G10960,
AT1G11130,
AT1G11180,
AT1G11210,
AT1G11410,
AT1G11430,
AT1G11475,
AT1G11850,
AT1G11910,
AT1G11950,
AT1G12210,
AT1G12230,
AT1G12520,
AT1G12710,
AT1G12750,
AT1G12780,
AT1G12845,
AT1G12860,
AT1G12900,
AT1G12910,
AT1G13090,
AT1G13110,
AT1G13170,
AT1G13210,
AT1G13410,
AT1G13650,
AT1G13700,
AT1G13750,
AT1G13790,
AT1G13810,
AT1G13950,
AT1G14040,
AT1G14120,
AT1G14170,
AT1G14230,
AT1G14270,
AT1G14300,
AT1G14350,
AT1G14360,
AT1G14400,
AT1G14520,
AT1G14580,
AT1G14685,
AT1G14890,
AT1G14900,
AT1G14980,
AT1G15000,
AT1G15030,
AT1G15250,
AT1G15300,
AT1G15390,
AT1G15440,
AT1G15510,
AT1G15790,
AT1G15820,
AT1G15870,
AT1G16000,
AT1G16080,
AT1G16350,
AT1G16390,
AT1G16400,
AT1G16470,
AT1G16720,
AT1G16780,
AT1G17100,
AT1G17130,
AT1G17190,
AT1G17220,
AT1G17420,
